% Model,Dz11_comsol.mph
% Version,COMSOL 5.2.1.262
% Date,"May 5 2018, 09:18"
% Dimension,2
% Nodes,557
% Expressions,2
% Description,Arrow line
% x,y,VectorX,VectorY
5.799999999999956,-7.500000000000002,0.03001164470118459,3.294386301533336E-7
5.999999999999957,-7.500000000000001,0.02716424645775654,2.590480949749008E-7
6.199999999999958,-7.5,0.024449885659583625,1.9352466296140847E-7
6.39999999999996,-7.500000000000002,0.02187464049728419,1.3313498481437589E-7
6.599999999999963,-7.500000000000002,0.019442894027829623,7.800472889840647E-8
6.7999999999999625,-7.5,0.01715747437574411,2.814838229170391E-8
6.9999999999999645,-7.5,0.015019796756025081,-1.6506913169678225E-8
7.1999999999999655,-7.500000000000001,0.013030004646504074,-5.610096476260651E-8
7.399999999999968,-7.500000000000002,0.011187108059372217,-9.082385687975146E-8
7.599999999999968,-7.500000000000001,0.009489117334984159,-1.209034339311188E-7
7.799999999999969,-7.500000000000001,0.007933171278366343,-1.4659550728879367E-7
7.99999999999997,-7.500000000000002,0.006515658759499942,-1.6817705361660273E-7
8.199999999999973,-7.500000000000001,0.005232333130076194,-1.859383838009876E-7
